    Finished `release` profile [optimized] target(s) in 0.05s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/v1_math'. Enabling persistent fuzzing mode
Start time:'2026-08-18.06.35.54' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/v1_math', input:'hfuzz_workspace/v1_math/input', output:'hfuzz_workspace/v1_math/input', persistent:true, stdin:false, mutation_rate:5, timeout:1, max_runs:0, threads:4, minimize:false, git_commit:01713bdad7307acea887517f2468b4a9961f9806
[2J[500BParsed hfuzz_target/x86_64-unknown-linux-gnu/release/v1_math: found 4471 32-bit and 3278 64-bit interesting values
[2026-08-18T06:35:54-0700][W][15418] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #1
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #3
Persistent mode: Launched new persistent pid=15475
Persistent mode: Launched new persistent pid=15476
Persistent mode: Launched new persistent pid=15477
Sz:4 Tm:125,840us (i/b/h/e/p/c) New:0/0/0/28/1/824, Cur:0/0/0/28/1/824
Persistent mode: Launched new persistent pid=15478
Sz:4 Tm:144,349us (i/b/h/e/p/c) New:0/0/0/5/0/52, Cur:0/0/0/33/1/876
Sz:8 Tm:9,612us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/33/1/883
Sz:8 Tm:26,595us (i/b/h/e/p/c) New:0/0/0/0/0/23, Cur:0/0/0/33/1/906
Sz:16 Tm:18,414us (i/b/h/e/p/c) New:0/0/0/0/0/16, Cur:0/0/0/33/1/922
Sz:16 Tm:18,068us (i/b/h/e/p/c) New:0/0/0/1/0/6, Cur:0/0/0/34/1/928
Sz:32 Tm:14,840us (i/b/h/e/p/c) New:0/0/0/2/0/12, Cur:0/0/0/36/1/940
Sz:26 Tm:7,947us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/37/1/940
Sz:32 Tm:5,715us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/37/1/945
Sz:23 Tm:15,908us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/37/1/955
Sz:4 Tm:15,660us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/37/1/961
Sz:4 Tm:17,850us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/37/1/962
Sz:4 Tm:43,264us (i/b/h/e/p/c) New:0/0/0/14/2/474, Cur:0/0/0/51/3/1436
Sz:8 Tm:13,985us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/51/3/1437
Sz:4 Tm:13,384us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/51/3/1438
Sz:8 Tm:80us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/51/3/1440
Sz:16 Tm:39us (i/b/h/e/p/c) New:0/0/0/3/0/84, Cur:0/0/0/54/3/1524
Sz:22 Tm:26us (i/b/h/e/p/c) New:0/0/0/2/0/79, Cur:0/0/0/56/3/1603
Sz:4 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/56/3/1608
Sz:8 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/56/3/1609
Sz:16 Tm:19us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/56/3/1614
Sz:16 Tm:37us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/56/3/1615
Sz:4 Tm:29us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/56/3/1625
Sz:8 Tm:21us (i/b/h/e/p/c) New:0/0/0/0/0/11, Cur:0/0/0/56/3/1636
Sz:16 Tm:21us (i/b/h/e/p/c) New:0/0/0/1/0/10, Cur:0/0/0/57/3/1646
Sz:32 Tm:21us (i/b/h/e/p/c) New:0/0/0/0/0/11, Cur:0/0/0/57/3/1657
Sz:64 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/57/3/1659
Sz:128 Tm:19us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/57/3/1664
Sz:256 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/57/3/1666
Sz:512 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/57/3/1670
Sz:4096 Tm:17us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/57/3/1673
Sz:4096 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/57/3/1675
Sz:4 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/57/3/1676
Sz:16 Tm:17us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/57/3/1681
Sz:32 Tm:36us (i/b/h/e/p/c) New:0/0/0/5/0/16, Cur:0/0/0/62/3/1697
Sz:64 Tm:69us (i/b/h/e/p/c) New:0/0/0/0/0/11, Cur:0/0/0/62/3/1708
Sz:64 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/62/3/1712
Sz:4 Tm:34us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/62/3/1713
Sz:8 Tm:22us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/62/3/1722
Sz:14 Tm:30us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/63/3/1722
