/usr/bin/ld.gold
warning: the gold linker is deprecated and has known bugs with Rust
  |
  = help: consider using LLD or ld from GNU binutils instead

warning: `wavebreak-math-fuzz` (bin "wb_math") generated 1 warning
    Finished `release` profile [optimized] target(s) in 0.16s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math'. Enabling persistent fuzzing mode
Start time:'2026-08-18.11.41.23' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math', input:'hfuzz_workspace/wb_math/input', output:'hfuzz_workspace/wb_math/input', persistent:true, stdin:false, mutation_rate:5, timeout:2, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T11:41:23-0700][W][19302] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #1
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #3
Persistent mode: Launched new persistent pid=19353
Persistent mode: Launched new persistent pid=19351
Sz:4 Tm:31,757us (i/b/h/e/p/c) New:0/0/0/47/1/1178, Cur:0/0/0/47/0/41
Persistent mode: Launched new persistent pid=19356
Sz:4 Tm:93,329us (i/b/h/e/p/c) New:0/0/0/22/0/841, Cur:0/0/0/48/0/139
Sz:8 Tm:21,039us (i/b/h/e/p/c) New:0/0/0/0/0/44, Cur:0/0/0/0/0/78
Persistent mode: Launched new persistent pid=19355
Sz:4 Tm:96,511us (i/b/h/e/p/c) New:0/0/0/35/0/1836, Cur:0/0/0/70/0/173
Sz:16 Tm:22,877us (i/b/h/e/p/c) New:0/0/0/0/0/35, Cur:0/0/0/0/0/78
Sz:8 Tm:28,159us (i/b/h/e/p/c) New:0/0/0/0/0/22, Cur:0/0/0/0/0/123
Sz:8 Tm:20,076us (i/b/h/e/p/c) New:0/0/0/0/0/44, Cur:0/0/0/0/0/131
Sz:16 Tm:6,840us (i/b/h/e/p/c) New:0/0/0/0/0/20, Cur:0/0/0/0/0/48
Sz:32 Tm:74us (i/b/h/e/p/c) New:0/0/0/0/0/19, Cur:0/0/0/0/0/48
Sz:64 Tm:27us (i/b/h/e/p/c) New:0/0/0/4/0/36, Cur:0/0/0/4/0/47
Sz:107 Tm:35us (i/b/h/e/p/c) New:0/0/0/0/0/34, Cur:0/0/0/0/0/51
Sz:4 Tm:37us (i/b/h/e/p/c) New:0/0/0/6/0/3, Cur:0/0/0/10/0/24
Sz:8 Tm:86us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/0/0/34
Sz:16 Tm:37us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/0/0/34
Sz:32 Tm:37us (i/b/h/e/p/c) New:0/0/0/11/0/37, Cur:0/0/0/14/0/36
Sz:64 Tm:19us (i/b/h/e/p/c) New:0/0/0/0/0/23, Cur:0/0/0/0/0/50
Sz:84 Tm:55us (i/b/h/e/p/c) New:0/0/0/0/0/15, Cur:0/0/0/0/0/50
Sz:4 Tm:43us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/16/0/62
Sz:16 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/2/0/76
Sz:25 Tm:23us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/72
Sz:4 Tm:40us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/33/0/187
Sz:8 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/118
Sz:16 Tm:26us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/114
Sz:16 Tm:6,285us (i/b/h/e/p/c) New:0/0/0/0/0/45, Cur:0/0/0/0/0/131
Sz:32 Tm:25,538us (i/b/h/e/p/c) New:0/0/0/2/0/27, Cur:0/0/0/2/0/76
Sz:32 Tm:1,632us (i/b/h/e/p/c) New:0/0/0/1/0/99, Cur:0/0/0/1/0/67
Sz:64 Tm:129us (i/b/h/e/p/c) New:0/0/0/5/0/211, Cur:0/0/0/5/0/540
Sz:128 Tm:84us (i/b/h/e/p/c) New:0/0/0/7/0/125, Cur:0/0/0/7/0/60
Sz:130 Tm:38us (i/b/h/e/p/c) New:0/0/0/0/0/13, Cur:0/0/0/0/0/67
Sz:4 Tm:56us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/0/0/102
Sz:8 Tm:25us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/102
Sz:16 Tm:33us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/102
Sz:32 Tm:27us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/103
Sz:32 Tm:1,916us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/131
Sz:64 Tm:1,780us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/8/0/82
Sz:64 Tm:420us (i/b/h/e/p/c) New:0/0/0/1/0/35, Cur:0/0/0/1/0/61
Sz:64 Tm:487us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/7/0/316
Sz:64 Tm:681us (i/b/h/e/p/c) New:0/0/0/3/0/1, Cur:0/0/0/4/0/74
Sz:128 Tm:4,266us (i/b/h/e/p/c) New:0/0/0/3/0/8, Cur:0/0/0/3/0/68
